trial_id,scenario,lighting_condition,expected_person,system_alerted,event_id,timestamp,source_mode,source_label,confidence,end_to_end_local_seconds,event_to_notification_seconds,telegram_elapsed_seconds,outcome,notes
D01,daylight_person_crossing,daylight,true,true,,,webcam,Webcam 0,,,,,TP,"Person detected and Telegram alert sent successfully."
D02,daylight_person_crossing,daylight,true,true,,,webcam,Webcam 0,,,,,TP,"Person detected and Telegram alert sent successfully."
D03,daylight_person_crossing,daylight,true,true,,,webcam,Webcam 0,,,,,TP,"Person detected and Telegram alert sent successfully."
L01,low_light_person_crossing,low light,true,true,,,webcam,Webcam 0,,,,,TP,"Person detected under lower-light condition and Telegram alert sent successfully."
L02,low_light_person_crossing,low light,true,true,,,webcam,Webcam 0,,,,,TP,"Person detected under lower-light condition and Telegram alert sent successfully."
L03,low_light_person_crossing,low light,true,true,,,webcam,Webcam 0,,,,,TP,"Person detected under lower-light condition and Telegram alert sent successfully."
N01,no_person_static_scene,daylight,false,false,,,webcam,Webcam 0,,,,,TN,"No motion detected and no Telegram alert was sent."
N02,no_person_static_scene,artificial light,false,false,,,webcam,Webcam 0,,,,,TN,"No motion detected and no Telegram alert was sent."
N03,no_person_static_scene,low light,false,false,,,webcam,Webcam 0,,,,,TN,"No motion detected and no Telegram alert was sent."
O01,no_person_object_motion,daylight,false,false,,,webcam,Webcam 0,,,,,TN,"Object motion was detected, but it was not classified as a person; no Telegram alert was sent."
O02,no_person_object_motion,daylight,false,false,,,webcam,Webcam 0,,,,,TN,"Object motion was detected, but it was not classified as a person; no Telegram alert was sent."
O03,no_person_object_motion,artificial light,false,false,,,webcam,Webcam 0,,,,,TN,"Object motion was detected, but it was not classified as a person; no Telegram alert was sent."
A01,side_angle_person_crossing,daylight,true,true,,,webcam,Webcam 0,,,,,TP,"Side-angle person movement was detected and Telegram alert sent successfully."
A02,side_angle_person_crossing,daylight,true,true,,,webcam,Webcam 0,,,,,TP,"Side-angle person movement was detected and Telegram alert sent successfully."
A03,side_angle_person_crossing,artificial light,true,true,,,webcam,Webcam 0,,,,,TP,"Side-angle person movement was detected and Telegram alert sent successfully."
A04,side_angle_person_crossing,low light,true,true,,,webcam,Webcam 0,,,,,TP,"Side-angle person movement was detected and Telegram alert sent successfully."
P01,partial_body_or_fast_entry,daylight,true,true,,,webcam,Webcam 0,,,,,TP,"Fast entry was detected and Telegram alert sent successfully."
P02,partial_body_or_fast_entry,artificial light,true,true,,,webcam,Webcam 0,,,,,TP,"Slow/normal entry was detected and Telegram alert sent successfully."
P03,partial_body_or_fast_entry,low light,true,true,,,webcam,Webcam 0,,,,,TP,"Partial-body view was detected quickly and Telegram alert sent successfully."
